Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,60.410000,61.869999,60.330002,61.849998,52.034138,7880800
2013-01-02,63.570000,63.709999,62.610001,63.480000,53.405453,9067200
2013-01-03,63.779999,63.930000,63.080002,63.299999,53.254025,6056800
2013-01-04,63.209999,63.369999,63.000000,63.180000,53.153069,4779100
2013-01-07,62.599998,63.000000,62.380001,62.840000,52.867008,5466500
2013-01-08,62.750000,63.459999,62.730000,63.220001,53.186707,5433000
2013-01-09,63.509998,63.630001,63.009998,63.169998,53.144650,4712400
2013-01-10,63.380001,63.619999,62.779999,63.619999,53.523232,6714100
2013-01-11,63.470001,63.759998,63.340000,63.700001,53.590538,4567100
2013-01-14,63.660000,63.900002,63.389999,63.480000,53.405453,4532200
2013-01-15,63.500000,64.010002,63.450001,63.950001,53.800854,5119400
2013-01-16,63.639999,64.000000,63.549999,63.860001,53.725143,3915400
2013-01-17,64.190002,65.290001,64.040001,65.050003,54.726284,7796000
2013-01-18,65.150002,65.480003,64.959999,65.470001,55.079620,6534400
2013-01-22,65.389999,65.989998,65.220001,65.750000,55.315189,6574000
2013-01-23,65.470001,66.480003,65.309998,66.459999,55.912506,6795500
2013-01-24,66.559998,67.690002,66.559998,67.349998,56.661266,8484600
2013-01-25,67.610001,68.129997,67.290001,67.820000,57.056683,7494700
2013-01-28,68.150002,68.150002,67.260002,67.580002,56.854755,6561200
2013-01-29,67.500000,67.800003,66.970001,67.199997,56.535072,6504300
2013-01-30,67.220001,67.580002,67.010002,67.239998,56.568726,5102200
2013-01-31,67.230003,67.559998,66.919998,66.919998,56.299507,5615900
2013-02-01,67.620003,67.739998,67.209999,67.300003,56.619205,4983300
2013-02-04,66.860001,67.220001,66.320000,66.360001,55.828381,4741000
2013-02-05,66.629997,66.930000,66.309998,66.389999,55.853615,7112000
2013-02-06,66.040001,66.720001,66.000000,66.669998,56.089180,5187000
2013-02-07,66.650002,66.699997,65.830002,66.309998,55.786327,5743500
2013-02-08,66.550003,67.019997,66.410004,67.010002,56.375225,4459000
2013-02-11,66.870003,66.980003,66.220001,66.379997,55.845219,3953500
2013-02-12,66.699997,67.430000,66.519997,67.320000,56.636013,4932500
2013-02-13,67.519997,67.669998,67.180000,67.449997,56.745399,3668900
2013-02-14,67.129997,67.470001,66.959999,67.339996,56.652851,5439700
2013-02-15,67.519997,67.989998,66.800003,67.519997,56.804287,8131200
2013-02-19,67.629997,67.919998,66.949997,67.550003,56.829517,5455500
2013-02-20,67.440002,67.599998,66.370003,66.440002,55.895699,5598400
2013-02-21,65.860001,65.919998,64.290001,64.379997,54.162624,10622400
