Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,71.010002,71.839996,70.730003,71.820000,59.878132,2128600
2013-01-02,73.089996,73.089996,72.500000,72.860001,60.745228,2886500
2013-01-03,72.800003,73.599998,72.519997,73.419998,61.212093,2124800
2013-01-04,73.500000,74.190002,73.360001,74.059998,61.745686,2013300
2013-01-07,73.669998,73.889999,72.599998,73.059998,60.911961,2207500
2013-01-08,72.980003,73.389999,72.849998,73.190002,61.020363,1431200
2013-01-09,73.419998,74.129997,73.320000,73.940002,61.645641,1617100
2013-01-10,74.309998,74.470001,74.000000,74.449997,62.070843,2358200
2013-01-11,74.389999,74.870003,74.290001,74.849998,62.404339,1266600
2013-01-14,74.870003,75.139999,74.580002,74.949997,62.487713,859300
2013-01-15,74.690002,75.709999,74.510002,75.559998,62.996284,1803100
2013-01-16,75.480003,75.919998,75.110001,75.550003,62.987926,1238300
2013-01-17,75.620003,76.120003,75.290001,75.900002,63.279747,1524200
2013-01-18,76.089996,76.669998,75.949997,76.309998,63.621567,2672100
2013-01-22,79.500000,80.000000,77.760002,77.949997,64.988861,4917500
2013-01-23,78.059998,78.099998,77.150002,77.639999,64.730438,2496000
2013-01-24,77.779999,78.489998,77.620003,78.089996,65.105606,1546700
2013-01-25,78.250000,78.550003,77.820000,78.349998,65.322372,1524200
2013-01-28,78.199997,78.440002,77.330002,77.349998,64.488640,1703600
2013-01-29,77.400002,78.000000,77.279999,77.809998,64.872154,1455500
2013-01-30,77.629997,77.870003,77.089996,77.580002,64.680405,1728200
2013-01-31,77.589996,78.589996,77.489998,78.459999,65.414085,3044600
2013-02-01,79.000000,80.440002,78.959999,79.889999,66.606323,3129600
2013-02-04,78.570000,78.830002,77.790001,78.000000,65.030579,3545600
2013-02-05,78.199997,79.029999,78.000000,78.650002,65.572495,2661400
2013-02-06,78.150002,78.980003,78.029999,78.959999,65.830948,2224200
2013-02-07,79.139999,79.160004,78.050003,79.120003,65.964348,2285900
2013-02-08,79.120003,79.120003,78.430000,78.860001,65.747559,2422000
2013-02-11,78.750000,79.320000,78.529999,79.209999,66.039352,1648800
2013-02-12,79.099998,80.180000,79.099998,79.900002,66.614670,1745600
2013-02-13,79.900002,80.309998,79.809998,79.989998,66.689682,1457600
2013-02-14,79.639999,80.470001,79.529999,80.339996,66.981491,1810600
2013-02-15,80.760002,80.849998,79.949997,80.389999,67.023170,2257700
2013-02-19,80.500000,81.070000,80.269997,80.599998,67.198265,2199800
